lon,lat,Name
-96.609,39.102,Encarnacion
-106.846,34.346,Encarnacion
-97.625,33.417,Encarnacion
-66.869,17.971,Encarnacion
-65.792,18.296,Encarnacion
15.375,-24.712,Neher
121.817,-8.768,Neher
-124.305,47.921,Neher
-154.907,19.462,Neher
-90.906,29.935,Neher
15.375,-24.712,Boldes
121.817,-8.768,Boldes
-124.305,47.921,Boldes
-154.907,19.462,Boldes
-90.906,29.935,Boldes
-97.257,35.223,Sun
-97.145,34.423,Sun
-97.436,35.198,Sun
-106.514,35.33,Sun
-96.456,30.527,Sun
-98.352,34.819,Zhang
-93.756,34.354,Zhang
-99.332,35.23,Zhang
85.058,39.579,Zhang
116.444,39.886,Zhang
87.005857,27.996187,Poudyal
81.113522,6.124244,Poudyal
102.012045,3.738042,Poudyal
15.935512,28.78191,Poudyal
98.641565,2.760415,Poudyal
-110.547,38.49,Puxley
-46.541,74.399,Puxley
-63.263,-0.31,Puxley
-78.063,24.464,Puxley
-97.488,36.608,Puxley
